unit	cluster	hap1	hap2	purity	score
954	0	10	12	0.5455	80.9962
1141	0	0	23	1.0000	277.3100
235	0	25	0	1.0000	0.0000
503	0	0	22	1.0000	308.7453
932	1	15	3	0.8333	58.5900
961	1	14	11	0.5600	55.0599
906	0	0	34	1.0000	0.0000
838	0	12	12	0.5000	55.2595
662	0	2	23	0.9200	57.7505
728	1	12	12	0.5000	46.0500
748	0	15	8	0.6522	93.1352
1313	1	21	0	1.0000	250.1376
651	1	24	3	0.8889	84.6897
140	1	0	28	1.0000	336.9898
1763	1	29	0	1.0000	283.1164
1163	0	6	14	0.7000	34.0168
476	1	0	24	1.0000	231.9512
211	1	1	26	0.9630	282.1732
106	0	0	27	1.0000	304.3026
758	1	17	17	0.5000	51.4221
790	0	31	1	0.9688	119.0586
675	1	0	31	1.0000	298.1056
361	0	25	0	1.0000	276.9066
1636	0	0	26	1.0000	1395.4496
123	1	0	31	1.0000	262.3404
1379	0	14	10	0.5833	37.1576
1589	0	29	0	1.0000	192.3500
1730	0	0	22	1.0000	0.0000
655	0	0	27	1.0000	270.8028
116	1	18	16	0.5294	73.4636
483	0	2	21	0.9130	228.7276
140	0	33	0	1.0000	336.9898
1495	0	28	0	1.0000	487.9784
608	0	14	7	0.6667	55.9046
1085	1	17	9	0.6538	66.4146
810	0	11	4	0.7333	62.3107
533	1	21	1	0.9545	121.5373
1543	1	24	0	1.0000	123.8821
1245	1	12	16	0.5714	46.9407
766	0	34	0	1.0000	0.0000
110	1	28	0	1.0000	168.4270
1829	1	5	7	0.5833	86.4555
1762	1	0	30	1.0000	244.0248
1334	1	24	2	0.9231	71.0169
899	0	0	30	1.0000	442.4155
1617	1	0	25	1.0000	296.1759
754	0	31	26	0.5439	0.0000
915	1	34	1	0.9714	222.1149
1849	1	2	17	0.8947	73.2546
1211	0	25	0	1.0000	323.0986
920	1	26	5	0.8387	52.4435
1498	2	9	24	0.7273	4937.4704
201	0	0	29	1.0000	214.9450
1689	1	14	9	0.6087	63.2660
841	0	53	21	0.7162	3458.8883
1353	0	32	0	1.0000	411.7770
517	0	0	18	1.0000	0.0000
623	1	28	1	0.9655	77.5330
1759	1	23	0	1.0000	305.6506
1587	1	24	0	1.0000	333.4625
1578	0	0	17	1.0000	138.8201
1737	0	22	2	0.9167	39.7402
1837	0	32	22	0.5926	0.0000
873	1	16	29	0.6444	44.8901
595	1	13	15	0.5357	40.5304
1432	1	2	23	0.9200	61.7643
622	0	28	0	1.0000	0.0000
433	1	25	0	1.0000	244.0206
1588	0	31	0	1.0000	0.0000
1070	1	15	23	0.6053	83.8488
1547	0	27	0	1.0000	0.0000
1901	0	24	26	0.5200	0.0000
1171	0	0	22	1.0000	0.0000
385	0	21	0	1.0000	287.1272
17	0	24	1	0.9600	84.9420
1563	2	20	0	1.0000	992.9097
47	0	0	37	1.0000	0.0000
777	0	30	0	1.0000	262.7882
267	0	20	0	1.0000	198.5871
1673	1	0	23	1.0000	219.0406
207	1	0	28	1.0000	296.6527
956	1	17	5	0.7727	52.0114
350	1	5	24	0.8276	196.0177
1450	1	0	20	1.0000	246.9403
1688	1	18	9	0.6667	50.9574
392	1	1	22	0.9565	104.1167
