0	445-1,214-0
1	453-1,399-0,233-1,487-0,543-0,475-1,545-0,231-0,485-0
2	44-0,463-0,314-1,425-1,19-1,498-0
3	197-0,334-1,553-0,196-1,140-0
4	244-0,249-0,169-1,148-1,503-1,224-1,235-1,251-0,225-1,236-0
5	308-0,349-0
6	194-1,436-1,473-1,499-1,426-1
7	55-1,353-0,434-0,149-0
8	246-0
9	91-0,359-1,432-1,90-0,358-0,447-0,387-0,357-0,431-1,89-1,356-0,197-1,334-1,553-1,196-0,140-1,195-1,440-0,386-0,194-0
10	299-1,145-0,94-1,144-1,95-0,13-0
11	52-1,16-0,342-0,471-0
12	428-0,516-0,15-0
13	280-1,100-1,515-1,277-1,309-0,279-1,72-0
15	315-1,201-1,510-0,200-0
16	232-1,475-1,545-0,231-0,485-0,544-0,230-1,486-0,229-0,488-0
17	163-0
18	230-1,544-0,231-0,545-0,475-1,232-1,543-0,487-0,233-1,399-0,453-1,542-1,476-1,234-1,400-1
20	77-0,86-1,483-1,76-0,85-0,259-0,526-1,481-0,381-0
21	37-1
22	192-0,240-1
23	344-1,329-1,325-1,530-0
24	44-1
25	317-1,198-1,417-1,177-0,506-0,151-0
26	372-0,220-1,213-0,221-0,373-0
27	421-1,215-0,394-1,337-1,547-0,422-0,348-0,444-1
28	219-0
29	175-0
30	242-1,273-0,181-1,61-0,208-0,60-1,243-0,170-1,405-0,59-1,321-0,171-0,75-1,534-0,385-0,189-1
31	310-0
32	257-1,252-1
33	101-0,228-1,381-0,481-0,526-1,259-0
35	523-1,536-1,395-1
36	55-0,353-1,434-0,149-1,56-1,36-1,271-0,433-1,116-1,500-1,35-0,57-0
38	64-1,513-0
39	283-1,350-1,41-1,282-0,480-0,479-0,349-1,308-1,280-0,100-0,515-0,277-0,309-1
41	485-1
42	146-1,299-1,145-1,94-0,144-0,95-1,13-1,298-1
43	539-0,9-1,10-0,532-0,11-1,301-1
44	115-1,390-0,366-0,6-0,367-0,7-0,520-1
45	423-1,474-0,426-0,499-0,473-0,436-0,194-1,386-1
47	338-1
48	91-1,359-0,432-0,90-1,358-1,447-1,387-1,355-1,357-1,431-0,89-1,197-0
49	439-0,30-0,3-1,438-0,29-0,175-0,28-1,2-0,437-0,482-1
50	93-1,514-1,496-1,429-1
51	4-1,286-0
52	430-0,396-0
53	409-1,69-1,286-0,4-1,210-1,5-0
55	430-0,550-1,135-1,120-1,136-0,255-0,137-0,119-0,138-0,118-1,139-0,117-1
56	523-0,536-1,395-1,519-1,401-1,327-0,326-1,328-1,204-1,493-0,478-0
57	305-1,376-1,99-1,377-0
58	482-0
59	271-1,36-0,56-0,149-0,434-0,353-0,37-1
60	267-1
61	139-0,118-0
62	259-1,85-1,76-1,483-0,86-0
63	70-1,439-1,30-1
64	309-0,279-1,72-0
65	233-0,487-1,232-0,545-1,231-1,485-1,544-1,230-0,486-1,398-0
67	336-1,420-0,416-0
68	465-0,407-1,67-1,466-1,511-1,66-1,467-1
69	227-1
70	90-1,359-0
71	499-1,473-1,436-1,194-0,386-0,440-0
72	159-0,51-1,246-1,188-1,50-1,158-1,49-1,24-0,48-0,248-0,412-0,114-1,23-1,47-1,457-0,450-0,46-0
73	400-1,234-0,476-1,542-1,453-1,399-0
74	107-1,406-0,80-1,260-0,266-1,456-0,505-1
75	140-1,195-1,440-0
76	235-0,224-0,503-0,148-0,249-1,111-0,244-1,112-0
77	414-1,81-1,552-0,107-1,406-0
78	419-1,416-1,420-1,336-0,404-0,421-0,215-1,394-0,337-0,422-0,348-1
79	365-0,115-0,390-0
80	507-0,2-1,28-0,175-1,3-0,30-1,439-1
81	293-1,380-1
82	3-0,438-1,29-1,175-1,28-0,2-1,507-0,437-1,482-1
83	194-0
84	242-1,62-0,322-1,528-0,518-0,319-1,272-1,241-0,192-0,240-1,318-1,423-0
85	35-1,57-1,34-1
86	234-0
87	490-0,165-1
88	547-0,422-1,348-0,384-1
89	421-1,215-0,394-1,337-1,547-0,348-0,444-1,216-0,523-0,536-0,395-0,519-0,509-1,362-1,401-0
90	36-0,271-1,433-0
91	398-0,486-1,230-0,485-1,231-1,545-1,232-0,543-1,487-1,233-0,399-1,542-0,234-1,400-0,238-1
93	307-0,505-0,456-1,266-0,260-1,80-0
94	401-0,362-1,509-1
95	6-0,367-0
96	156-0,527-0,443-0,380-0,293-1,155-0,294-0
97	143-0,298-0,13-0,95-0,144-1,94-1,145-0
98	427-1,108-0,143-1,298-1,13-1,95-1,144-0,94-0,145-1,299-1
100	123-1,343-0,477-0,469-0,43-1,537-0
101	67-1,465-0,68-0,408-0,464-0,5-0
102	551-1
103	45-0,21-1,424-0
104	349-0,308-0,280-1,277-1,309-0
105	531-0
106	73-0,71-1,184-0,262-0,442-1,186-1
107	307-1,88-0,454-0,78-1,87-0,517-1,77-0,86-0,483-0,259-1,526-0,481-1,381-1,126-0,228-0,462-1
108	546-1,218-1,371-0,219-0,372-0,220-1,213-1,221-1,373-1,222-0,522-1,504-1,157-0
109	88-1,454-1,78-0
110	117-1,139-1,118-0
111	495-1,142-1,494-1,92-1,451-1,448-0,141-0,452-0,91-1,359-0,432-0,90-1,358-1,447-1
112	403-1,267-0,122-0,274-1,360-1,290-0,131-1
114	479-0,282-0,41-1,350-1,283-1,42-1,15-0
